titles,url,current,latest
Greatest Clan,https://chapmanganato.to/manga-jh986990,Chapter 37: Shoot It Dead,"Chapter 46: One Is Quick, Pulling Away From The Others"
The Lazy Swordmaster,https://chapmanganato.to/manga-nq991251,Chapter 46,Chapter 116
Mad Detective,https://chapmanganato.to/manga-pv992756,Chapter 0,Chapter 59
The Girl from Random Chatting!,https://chapmanganato.to/manga-dg980741,Chapter 190,Chapter 327: Ending 1 (3)
My Death Flags Show No Sign of Ending,https://manganato.com/manga-jv986530,Chapter 54,Chapter 66: The Price Of Power
That Time I Got Reincarnated With Talent ~I’ll Work Hard Even if I Go to Another World~,https://manganato.com/manga-ua997509,Vol.1 Chapter 3.1,Vol.1 Chapter 3.2
Revenge of the Sword Clan's Hound,https://chapmanganato.to/manga-sb995658,Chapter 74,Chapter 74.5
The Extra is Too Strong,https://chapmanganato.to/manga-ts996901,Chapter 40,Chapter 50
Boku igai Zennin Tenseisha ka yo!?,https://manganato.com/manga-ti997143,Chapter 8,Chapter 23.7
"The Strongest Female Masters, Who Are Trying to Raise Me Up, Are in Shambles Over Their Training Policy",https://manganato.com/manga-on991696,Chapter 20,Vol.4 Chapter 27: Invitation
Reformation of the Deadbeat Noble,https://chapmanganato.to/manga-lt989228,Chapter 106,Chapter 106.3
"Magical★Explorer - It Seems I Have Become a Friend of the Protagonist In An Eroge World, But Because Magic is Fun I Have Abandoned The Role And Train Myself",https://manganato.com/manga-gx983506,Chapter 6.1,Chapter 7.2
Ore no Genjitsu wa Ren'ai Game?? ka to Omottara Inochigake no Game datta,https://chapmanganato.to/manga-cg979815,Chapter 48: Falsification 4,Chapter 72: Blood (6)
Weak Hero,https://chapmanganato.to/manga-lm989347,Chapter 46: Ep. 46,Chapter 269
The Reincarnated Inferior Magic Swordsman,https://chapmanganato.to/manga-jd986360,Chapter 49,Chapter 93
"The Lethargic NEET, Who Were Once Prodigy Become an Adventurer",https://manganato.com/manga-un998096,,Chapter 10
Hero in White Coat,https://manganato.com/manga-kl987668,Chapter 8.1,Chapter 8.3
"It's Sudden, but I came to Another World! But I hope to live Safely",https://chapmanganato.to/manga-er981400,Chapter 12,Chapter 29.2
Shotgun Boy,https://chapmanganato.to/manga-kr988352,Chapter 47,Chapter 69
Slave B,https://chapmanganato.to/manga-hf985288,Chapter 32,Chapter 80
Juvenile Offender,https://chapmanganato.to/manga-sq995625,Chapter 68,Chapter 68
I Became The Game’s Biggest Villain,https://chapmanganato.to/manga-wo999871,Chapter 30,Chapter 30
The Extra’s Academy Survival Guide,https://chapmanganato.to/manga-xj1001092,Chapter 28,Chapter 28
Academy’s Genius Swordsman,https://chapmanganato.to/manga-ue997387,Chapter 52,Chapter 52
"Ore Igai Dare mo Saishu Dekinai Sozai na no ni ""Sozai Saishuritsu ga Hikui"" to Pawahara suru Osananajimi Renkinjutsushi to Zetsuen shita Senzoku Madoushi, Henkyou no Machi de Slow Life wo Okuritai.",https://manganato.com/manga-vs998427,Vol.1 Chapter 12: Help!,Vol.1 Chapter 12: Help!
Skill Ga Nakereba Level wo Ageru ~99 Ga Kansuto No Sekai De Level 800 Man Kara Sutato~,https://chapmanganato.to/manga-yn1001922,Vol.1 Chapter 2.3: Guild Card,Vol.1 Chapter 2.3: Guild Card
Executioner,https://chapmanganato.to/manga-yc1002085,Chapter 11,Chapter 11
Mushoku Tensei - Isekai Ittara Honki Dasu,https://chapmanganato.to/manga-qm951521,Chapter 100: Labyrinth City Rapan,Chapter 100: Labyrinth City Rapan
"I Got a New Skill Every Time I Was Exiled, and After 100 Different Worlds, I Was Unmatched",https://manganato.com/manga-qk994319,Chapter 13,Chapter 13: The Demon World
Kamigoroshi no Maou Saijyaku Shuzoku ni Tensei shi Shijyou Saikyou ni naru,https://manganato.com/manga-oe991587,Chapter 15,Chapter 15
"Did You Think You Could Run After Reincarnating, Nii-san?",https://chapmanganato.to/manga-jv987256,Vol.4 Chapter 15,Vol.4 Chapter 15
Behind the battle of the Hero and the Demon King,https://chapmanganato.to/manga-sw995931,Chapter 12.2,Chapter 12.2
Water Magician,https://manganato.com/manga-pf992914,Chapter 6,Chapter 6
Kill the Hero,https://chapmanganato.to/manga-ho985023,Chapter 153,Chapter 153
Mushoku Tensei - Depressed Magician Arc,https://chapmanganato.to/manga-mn990348,Chapter 16,Chapter 16
Is This Hero for Real?,https://chapmanganato.to/manga-nt991076,Chapter 101,Chapter 101
The Savior is Ruined,https://chapmanganato.to/manga-vi998417,Chapter 1,Chapter 1
FFF-Class Trashero,https://chapmanganato.to/manga-gi983617,Chapter 172,Chapter 172
"Saitei Rank no Boukensha, Yuusha Shoujo wo Sodateru Orette",https://manganato.com/manga-tr996500,Chapter 4,Chapter 4
The Self-Disciplined Me Is Practically Invincible,https://manganato.com/manga-tf996540,Chapter 46,Chapter 46
Bartender,https://manganato.com/manga-ts953275,Vol.21 Chapter 166: The Farewell Lesson (Part 3),Vol.21 Chapter 166: The Farewell Lesson (Part 3)
